Откуда,Куда,Время отправления,Время прибытия,Время в дороге,Маршрут,Взрослый,Детский
Новопавловск,Лиски,10:00,2:50,1010,1,1500,750
Новопавловск,Каширское,10:00,2:55,1015,1,1500,750
Новопавловск,Воронеж,10:00,3:00,1020,1,1500,750
Новопавловск,Рамонь,10:00,3:20,1040,1,1500,750
Новопавловск,Хлевное,10:00,3:50,1070,1,1500,750
Новопавловск,Задонск,10:00,4:20,1100,1,1500,750
Новопавловск,Елец,10:00,6:30,1230,1,1500,750
Новопавловск,Ефремов,10:00,7:30,1290,1,1500,750
Новопавловск,Богородицк,10:00,8:20,1340,1,1500,750
Новопавловск,Тула,10:00,8:45,1365,1,1595,798
Новопавловск,Москва,10:00,13:30,1650,1,2700,1350
Пятигорск,Михайловск,11:30,15:30,240,1,1500,750
Пятигорск,Донское,11:30,16:00,270,1,1500,750
Пятигорск,Безопасное,11:30,16:20,290,1,1500,750
Пятигорск,Красногвардейское,11:30,17:10,340,1,1500,750
Пятигорск,Песчанокопское,11:30,18:10,400,1,1500,750
Пятигорск,Егорлыкская,11:30,19:00,450,1,1500,750
Пятигорск,Мечетинская,11:30,19:20,470,1,1500,750
Пятигорск,Зерноград,11:30,19:30,480,1,1500,750
Пятигорск,Экспериментальный,11:30,19:30,480,1,1500,750
Пятигорск,Кагальницкая,11:30,19:50,500,1,1500,750
Пятигорск,Кировская,11:30,20:10,520,1,1500,750
Пятигорск,Мокрый Батай,11:30,20:35,545,1,1500,750
Пятигорск,Батайск,11:30,20:45,555,1,1500,750
Пятигорск,Аксай,11:30,21:15,585,1,1500,750
Пятигорск,Ростов-на-Дону,11:30,21:15,585,1,1500,750
Пятигорск,Новочеркасск,11:30,21:30,600,1,1500,750
Пятигорск,Новошахтинск,11:30,22:05,635,1,1500,750
Пятигорск,Шахты,11:30,22:05,635,1,1500,750
Пятигорск,Красный Сулин,11:30,22:10,640,1,1500,750
Пятигорск,Зверево,11:30,22:15,645,1,1500,750
Пятигорск,Гуково,11:30,22:15,645,1,1500,750
Пятигорск,Каменск-Шахтинский,11:30,22:30,660,1,1500,750
Пятигорск,Лихой,11:30,22:45,675,1,1500,750
Пятигорск,Тарасовский,11:30,23:00,690,1,1500,750
Пятигорск,Глубокий,11:30,23:20,710,1,1500,750
Пятигорск,Миллерово,11:30,0:05,755,1,1500,750
Пятигорск,Алексеево-Лозовское,11:30,0:20,770,1,1500,750
Пятигорск,Нагибин,11:30,1:20,830,1,1500,750
Пятигорск,Богучар,11:30,1:40,850,1,1500,750
Пятигорск,Верхний Мамон,11:30,2:00,870,1,1500,750
Пятигорск,Павловск,11:30,2:30,900,1,1500,750
Пятигорск,Лосево,11:30,2:40,910,1,1500,750
Пятигорск,Бобров,11:30,2:45,915,1,1500,750
Пятигорск,Лиски,11:30,2:50,920,1,1500,750
Пятигорск,Каширское,11:30,2:55,925,1,1500,750
Пятигорск,Воронеж,11:30,3:00,930,1,1500,750
Пятигорск,Рамонь,11:30,3:20,950,1,1500,750
Пятигорск,Хлевное,11:30,3:50,980,1,1500,750
Пятигорск,Задонск,11:30,4:20,1010,1,1500,750
Пятигорск,Елец,11:30,6:30,1140,1,1500,750
Пятигорск,Ефремов,11:30,7:30,1200,1,1500,750
Пятигорск,Богородицк,11:30,8:20,1250,1,1500,750
Пятигорск,Тула,11:30,8:45,1275,1,1595,798
Пятигорск,Москва,11:30,13:30,1560,1,2700,1350
Благодарный,Михайловск,12:05,15:30,205,1,1500,750
Благодарный,Донское,12:05,16:00,235,1,1500,750
Благодарный,Безопасное,12:05,16:20,255,1,1500,750
Благодарный,Красногвардейское,12:05,17:10,305,1,1500,750
Благодарный,Песчанокопское,12:05,18:10,365,1,1500,750
Благодарный,Егорлыкская,12:05,19:00,415,1,1500,750
Благодарный,Мечетинская,12:05,19:20,435,1,1500,750
Благодарный,Зерноград,12:05,19:30,445,1,1500,750
Благодарный,Экспериментальный,12:05,19:30,445,1,1500,750
Благодарный,Кагальницкая,12:05,19:50,465,1,1500,750
Благодарный,Кировская,12:05,20:10,485,1,1500,750
Благодарный,Мокрый Батай,12:05,20:35,510,1,1500,750
Благодарный,Батайск,12:05,20:45,520,1,1500,750
Благодарный,Аксай,12:05,21:15,550,1,1500,750
Благодарный,Ростов-на-Дону,12:05,21:15,550,1,1500,750
Благодарный,Новочеркасск,12:05,21:30,565,1,1500,750
Благодарный,Новошахтинск,12:05,22:05,600,1,1500,750
Благодарный,Шахты,12:05,22:05,600,1,1500,750
Благодарный,Красный Сулин,12:05,22:10,605,1,1500,750
Благодарный,Зверево,12:05,22:15,610,1,1500,750
Благодарный,Гуково,12:05,22:15,610,1,1500,750
Благодарный,Каменск-Шахтинский,12:05,22:30,625,1,1500,750
Благодарный,Лихой,12:05,22:45,640,1,1500,750
Благодарный,Тарасовский,12:05,23:00,655,1,1500,750
Благодарный,Глубокий,12:05,23:20,675,1,1500,750
Благодарный,Миллерово,12:05,0:05,720,1,1500,750
Благодарный,Алексеево-Лозовское,12:05,0:20,735,1,1537,768
Благодарный,Нагибин,12:05,1:20,795,1,1537,768
Благодарный,Богучар,12:05,1:40,815,1,1537,768
Благодарный,Верхний Мамон,12:05,2:00,835,1,1537,768
Благодарный,Павловск,12:05,2:30,865,1,1768,884
Благодарный,Лосево,12:05,2:40,875,1,1768,884
Благодарный,Бобров,12:05,2:45,880,1,1768,884
Благодарный,Лиски,12:05,2:50,885,1,1768,884
Благодарный,Каширское,12:05,2:55,890,1,1768,884
Благодарный,Воронеж,12:05,3:00,895,1,1768,884
Благодарный,Рамонь,12:05,3:20,915,1,1768,884
Благодарный,Хлевное,12:05,3:50,945,1,1768,884
Благодарный,Задонск,12:05,4:20,975,1,1768,884
Благодарный,Елец,12:05,6:30,1105,1,1768,884
Благодарный,Ефремов,12:05,7:30,1165,1,1768,884
Благодарный,Богородицк,12:05,8:20,1215,1,1768,884
Благодарный,Тула,12:05,8:45,1240,1,2009,1004
Благодарный,Москва,12:05,13:30,1525,1,2700,1350
Минеральные Воды,Михайловск,12:10,15:30,200,1,1500,750
Минеральные Воды,Донское,12:10,16:00,230,1,1500,750
Минеральные Воды,Безопасное,12:10,16:20,250,1,1500,750
Минеральные Воды,Красногвардейское,12:10,17:10,300,1,1500,750
Минеральные Воды,Песчанокопское,12:10,18:10,360,1,1500,750
Минеральные Воды,Егорлыкская,12:10,19:00,410,1,1500,750
Минеральные Воды,Мечетинская,12:10,19:20,430,1,1500,750
Минеральные Воды,Зерноград,12:10,19:30,440,1,1500,750
Минеральные Воды,Экспериментальный,12:10,19:30,440,1,1500,750
Минеральные Воды,Кагальницкая,12:10,19:50,460,1,1500,750
Минеральные Воды,Кировская,12:10,20:10,480,1,1500,750
Минеральные Воды,Мокрый Батай,12:10,20:35,505,1,1500,750
Минеральные Воды,Батайск,12:10,20:45,515,1,1500,750
Минеральные Воды,Аксай,12:10,21:15,545,1,1500,750
Минеральные Воды,Ростов-на-Дону,12:10,21:15,545,1,1500,750
Минеральные Воды,Новочеркасск,12:10,21:30,560,1,1500,750
Минеральные Воды,Новошахтинск,12:10,22:05,595,1,1500,750
Минеральные Воды,Шахты,12:10,22:05,595,1,1500,750
Минеральные Воды,Красный Сулин,12:10,22:10,600,1,1500,750
Минеральные Воды,Зверево,12:10,22:15,605,1,1500,750
Минеральные Воды,Гуково,12:10,22:15,605,1,1500,750
Минеральные Воды,Каменск-Шахтинский,12:10,22:30,620,1,1500,750
Минеральные Воды,Лихой,12:10,22:45,635,1,1500,750
Минеральные Воды,Тарасовский,12:10,23:00,650,1,1500,750
Минеральные Воды,Глубокий,12:10,23:20,670,1,1500,750
Минеральные Воды,Миллерово,12:10,0:05,715,1,1500,750
Минеральные Воды,Алексеево-Лозовское,12:10,0:20,730,1,1500,750
Минеральные Воды,Нагибин,12:10,1:20,790,1,1500,750
Минеральные Воды,Богучар,12:10,1:40,810,1,1500,750
Минеральные Воды,Верхний Мамон,12:10,2:00,830,1,1500,750
Минеральные Воды,Павловск,12:10,2:30,860,1,1500,750
Минеральные Воды,Лосево,12:10,2:40,870,1,1500,750
Минеральные Воды,Бобров,12:10,2:45,875,1,1500,750
Минеральные Воды,Лиски,12:10,2:50,880,1,1500,750
Минеральные Воды,Каширское,12:10,2:55,885,1,1500,750
Минеральные Воды,Воронеж,12:10,3:00,890,1,1500,750
Минеральные Воды,Рамонь,12:10,3:20,910,1,1500,750
Минеральные Воды,Хлевное,12:10,3:50,940,1,1500,750
Минеральные Воды,Задонск,12:10,4:20,970,1,1500,750
Минеральные Воды,Елец,12:10,6:30,1100,1,1500,750
Минеральные Воды,Ефремов,12:10,7:30,1160,1,1500,750
Минеральные Воды,Богородицк,12:10,8:20,1210,1,1500,750
Минеральные Воды,Тула,12:10,8:45,1235,1,1545,773
Минеральные Воды,Москва,12:10,13:30,1520,1,2700,1350
Александровское,Михайловск,13:20,15:30,130,1,1500,750
Александровское,Донское,13:20,16:00,160,1,1500,750
Александровское,Безопасное,13:20,16:20,180,1,1500,750
Александровское,Красногвардейское,13:20,17:10,230,1,1500,750
Александровское,Песчанокопское,13:20,18:10,290,1,1500,750
Александровское,Егорлыкская,13:20,19:00,340,1,1500,750
Александровское,Мечетинская,13:20,19:20,360,1,1500,750
Александровское,Зерноград,13:20,19:30,370,1,1500,750
Александровское,Экспериментальный,13:20,19:30,370,1,1500,750
Александровское,Кагальницкая,13:20,19:50,390,1,1500,750
Александровское,Кировская,13:20,20:10,410,1,1500,750
Александровское,Мокрый Батай,13:20,20:35,435,1,1500,750
Александровское,Батайск,13:20,20:45,445,1,1500,750
Александровское,Аксай,13:20,21:15,475,1,1500,750
Александровское,Ростов-на-Дону,13:20,21:15,475,1,1500,750
Александровское,Новочеркасск,13:20,21:30,490,1,1500,750
Александровское,Новошахтинск,13:20,22:05,525,1,1500,750
Александровское,Шахты,13:20,22:05,525,1,1500,750
Александровское,Красный Сулин,13:20,22:10,530,1,1500,750
Александровское,Зверево,13:20,22:15,535,1,1500,750
Александровское,Гуково,13:20,22:15,535,1,1500,750
Александровское,Каменск-Шахтинский,13:20,22:30,550,1,1500,750
Александровское,Лихой,13:20,22:45,565,1,1500,750
Александровское,Тарасовский,13:20,23:00,580,1,1500,750
Александровское,Глубокий,13:20,23:20,600,1,1500,750
Александровское,Миллерово,13:20,0:05,645,1,1500,750
Александровское,Алексеево-Лозовское,13:20,0:20,660,1,1500,750
Александровское,Нагибин,13:20,1:20,720,1,1500,750
Александровское,Богучар,13:20,1:40,740,1,1500,750
Александровское,Верхний Мамон,13:20,2:00,760,1,1500,750
Александровское,Павловск,13:20,2:30,790,1,1500,750
Александровское,Лосево,13:20,2:40,800,1,1500,750
Александровское,Бобров,13:20,2:45,805,1,1500,750
Александровское,Лиски,13:20,2:50,810,1,1500,750
Александровское,Каширское,13:20,2:55,815,1,1500,750
Александровское,Воронеж,13:20,3:00,820,1,1500,750
Александровское,Рамонь,13:20,3:20,840,1,1500,750
Александровское,Хлевное,13:20,3:50,870,1,1500,750
Александровское,Задонск,13:20,4:20,900,1,1500,750
Александровское,Елец,13:20,6:30,1030,1,1500,750
Александровское,Ефремов,13:20,7:30,1090,1,1500,750
Александровское,Богородицк,13:20,8:20,1140,1,1500,750
Александровское,Тула,13:20,8:45,1165,1,1545,773
Александровское,Москва,13:20,13:30,1450,1,2700,1350
Светлоград,Красногвардейское,13:22,17:10,228,1,1500,750
Светлоград,Песчанокопское,13:22,18:10,288,1,1500,750
Светлоград,Егорлыкская,13:22,19:00,338,1,1500,750
Светлоград,Мечетинская,13:22,19:20,358,1,1500,750
Светлоград,Зерноград,13:22,19:30,368,1,1500,750
Светлоград,Экспериментальный,13:22,19:30,368,1,1500,750
Светлоград,Кагальницкая,13:22,19:50,388,1,1500,750
Светлоград,Кировская,13:22,20:10,408,1,1500,750
Светлоград,Мокрый Батай,13:22,20:35,433,1,1500,750
Светлоград,Батайск,13:22,20:45,443,1,1500,750
Светлоград,Аксай,13:22,21:15,473,1,1500,750
Светлоград,Ростов-на-Дону,13:22,21:15,473,1,1500,750
Светлоград,Новочеркасск,13:22,21:30,488,1,1500,750
Светлоград,Новошахтинск,13:22,22:05,523,1,1500,750
Светлоград,Шахты,13:22,22:05,523,1,1500,750
Светлоград,Красный Сулин,13:22,22:10,528,1,1500,750
Светлоград,Зверево,13:22,22:15,533,1,1500,750
Светлоград,Гуково,13:22,22:15,533,1,1500,750
Светлоград,Каменск-Шахтинский,13:22,22:30,548,1,1500,750
Светлоград,Лихой,13:22,22:45,563,1,1500,750
